lon,lat
120.25098433655944,22.597705156195886
110.5801474633337,16.230488743828282
109.68548303181258,13.570738192661322
109.6622379039903,12.145579700789785
109.22903949455284,11.549697026204662
108.8830836526068,11.210182562308635
109.49282858066071,11.249129575106354
108.85728496636138,11.236666496615205
108.98908418057194,11.293487891442458
108.8613631115903,11.193112488667683
109.25517656440493,10.856513439671991
106.75083980232596,9.601824928934247
105.6018179890224,8.900020080454183
105.6747680958716,8.884409110531054
104.80024545998988,8.382110544970573
104.79538046575233,8.34563579447371
104.66335370742154,8.3134818629868
104.90259608255253,8.392899648229026
105.30042128196294,8.634832503083757
105.02634358586901,8.516166301884878
104.78184766314914,8.342165613539146
104.5067076786765,8.271612191868186
104.37407804494036,9.08015468802485
104.27944701156814,9.302195709165497
103.43846346876553,10.675094444936008
103.56525495168249,10.78900555545075
103.58510688449175,10.740763430775646
103.53972444109543,10.730153612351561
103.50933944208775,10.70285273630323
103.44857309094952,10.648254260920213
103.44591977978273,10.406807028951327
103.57838369906138,10.269686986931934
103.4257219909799,10.480361641751971
103.4952188774395,10.690165430139523
103.65583808211565,10.79864196299132
103.03950815993012,10.83734872808268
103.84250115151214,9.813807238910062
103.51206148449641,10.585928466516428
