index,origin,dest,len_searoute_km,len_repaired_km,len_detour_km,len_simplified_km,repaired_collide,detour_all_fixed,simplified_collide
0,AUDAM,TWKHH,4962.673838281082,4986.1709729124905,4986.1709729124905,4935.601688192021,False,True,False
1,AUDAM,TWTXG,5130.819291587365,5154.316426218774,5154.316426218774,5118.146854169204,True,False,True
2,AUPHE,CNPUT,5232.420465820418,5255.917600451827,5255.917600451827,5053.702671951404,False,True,False
3,AUPHE,TWKHH,4842.870563142931,4866.36769777434,4866.36769777434,4792.601343259649,False,True,False
4,AUPHE,TWTXG,5011.0160164492145,5034.513151080623,5034.513151080623,4975.146509236832,True,False,True
