index,origin,dest,baseline_length_km,optimized_length_km,delta_km,converged
0,AUDAM,TWKHH,4996.327005021088,4885.024151554093,-111.30285346699475,True
2,AUPHE,CNPUT,5266.073632560424,5266.073632560424,0.0,False
3,AUPHE,TWKHH,4876.523729882937,4843.04735851955,-33.47637136338744,True
